alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
produits sucrés;Brioche, préemballée;354;23,7;8,13;52,7;11,8;12,7;31,1;2,2;1,35;0;21,53;5,01;59,3;1;0,94;18;120;< 0,25;1,93;6,97;< 0,5;0,14;0,053;0,6;0,34;0,032;23,9;0,21
produits sucrés;Brioche, sans précision;401;21,5;11,3;46;19,1;5,7;32,2;< 0,5;1,85;0;22,92;7,84;109;1,13;1,65;19,7;178;< 0,5;2,04;-;< 0,5;0,11;0,2;1,42;0,92;0,12;53;0,32
produits sucrés;Brioche, de boulangerie traditionnelle;374;21,4;9,81;49,2;14,7;-;38;3;1,87;0;22,99;8,51;99;1,47;1,15;25,5;198;< 0,2;1,2;-;-;0,05;0,17;0,87;0,67;0,09;42;0,53
produits sucrés;Couronne de Noël (Brioche) aux fruits confits, préemballée;355;25;7,2;53,3;12,3;19,6;-;1,35;0,89;0;11,71;5,83;-;0,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Brioche pur beurre, préemballée;366;24;8;51,6;14;13,4;26,2;1,1;1,34;0;25,06;8,69;105;0,96;0,85;19;110;< 0,25;0,49;1,52;< 0,5;0,14;0,068;< 0,1;0,43;0,052;48,4;0,22
produits sucrés;Chouquette;381;23,5;7,76;42,6;18,6;27,1;15,5;6,1;1,4;0;32,1645;9,89;191;1,08;1,6;13,9;107;< 0,2;2,4;24,5;0;< 0,05;0,19;0,2;0,58;0,07;78,9;1,1
produits sucrés;Chausson aux pommes;338;36,2;4,17;36,6;18,7;11,2;25,2;3,1;1,15;0;28,621;10,3;45,6;0,87;0,44;10;106;0,32;1,21;-;5,36;0,1;0,051;0,67;0,084;0,065;5,15;0
produits sucrés;Tartine craquante, extrudée et grillée, fourrée au chocolat;-;5,5;7,85;64,3;16;30,2;34,1;4,65;1,7;0;15,88;4,88;-;0,34;3,7;56,2;411;-;3,8;-;-;0,32;0,14;3,15;0,54;< 0,05;35;-
produits sucrés;Tartine craquante, extrudée et grillée, fourrée aux fruits;-;8,9;4,91;74,7;6,44;28,8;37,1;3,92;1,1;0;2,72;1,72;-;0,43;< 1;24,5;160;-;4,7;-;< 1;0,35;0,07;3,6;0,5;< 0,05;30;-
produits sucrés;Macaron sec;-;-;6,9;77,7;10,2;74;-;3;0,2;0;0,6;0,6;-;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec, sans précision;-;4,2;6,9;65;20,6;24,7;40,3;2,03;1,2;0;31,13;6,09;65;0,63;1,58;16;129;0,4;0,76;5,9;0;0,2;0,19;2,06;0,34;0,031;14;0,075
produits sucrés;Biscuit sec nature;-;3,88;6,77;70;15,1;23,6;32;2,81;1,48;0;25,967;6,81;3;0,84;2,12;15,3;125;0;0,26;5,9;0;0,2;0,19;2,34;0,39;0,049;14,9;0,05
produits sucrés;Biscuit sec à teneur garantie en vitamines;-;1,8;9,63;72,6;14,2;23,3;49;0,75;1,03;0;26,604;6,07;15,5;0,16;2;54;275;0,55;6,3;-;3;2,6;1,8;20,1;0,82;3,35;212;< 0,08
produits sucrés;Biscuit sec à teneur garantie en vitamines et minéraux;-;1,28;10,8;61,9;19,8;22,1;39;3,5;2,78;0;36,82;8,44;1,7;0,44;6,4;195;256;< 0,5;31,2;-;< 1;1,7;1,95;2,1;0,61;3,7;157;< 0,08
produits sucrés;Biscuit sec aux fruits, hyposodé;-;5;10,8;61,4;15,8;20,2;38,1;6;1;0;15;6,8;-;0,038;1,95;40;325;0,25;2,5;-;0;1,63;1,95;19,5;10,9;2,4;435;0,04
produits sucrés;Biscuit sec aux fruits hyposodé, sans sucres ajoutés;-;5,5;22,7;47,6;20,7;14,3;-;2,63;0,92;0;16,67;8,37;-;0,35;2,1;30;350;-;5;-;-;0,6;0,8;5;-;0,85;95;-
produits sucrés;Biscuit sec croquant au chocolat, allégé en matière grasse;-;-;7;69;11;22,4;46,6;8,4;2,27;0;16,4382;3,18;-;2,18;-;90;-;-;3,9;-;-;0,42;-;-;-;0,6;-;-
produits sucrés;Biscuit sec fourré aux fruits, allégé en matière grasse;-;8,8;4,69;75,3;7,2;-;36,1;3;1;0;12,531;2,82;13;0,58;< 1;15,6;152;< 0,2;3,2;-;-;0,2;0,05;< 0,05;0,45;< 0,05;49,6;0,35
produits sucrés;Spéculoos;-;2,4;5,94;69;19,7;32,6;-;1,93;1,03;0;34,59;9,35;-;0,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec, avec matière grasse végétale;-;1,25;7,23;74,7;11,8;21,7;49,2;4;1,05;0;21,28;6,68;21,4;0,72;2,16;34,5;89,7;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec, petits fours en assortiment;-;1,6;6,44;61,4;26,4;39,4;20,8;2,9;1,11;0;48,56;6,21;20,1;0,46;2,6;35;200;< 0,25;2,12;4,26;< 0,5;0,1;0,14;1,14;0,45;0,031;48,7;0,21
produits sucrés;Biscuit sec petit beurre;-;1,4;8,06;74,5;12,1;21,5;45;2,3;1,5;0;21,81;7,82;40;1,16;0,82;18;150;< 0,25;0,53;1,09;< 0,5;0,082;0,035;< 0,1;0,48;0,026;19,1;0,092
produits sucrés;Biscuit sec avec tablette de chocolat;-;2,01;6,62;63,3;24,1;36,8;26,5;2,65;1,3;0;42,7148;15,1;26,4;0,61;5,3;37,5;218;< 0,5;0,89;-;1,1;0,17;0,28;0,68;0,51;0,2;36;0,2
produits sucrés;Biscuit sec petit beurre au chocolat;-;1,21;7,19;71,1;16;24,5;-;2,91;1,64;0;28,154;9,37;-;1,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec au lait;-;2,85;8,25;73,9;11,5;20;47,4;2,2;1,27;0;5,45;5,45;-;1,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;-;1,5;5,63;80,1;8,8;29,4;24,4;2,5;1,5;0;12,0381;2,85;40;0,78;< 1;25,5;211;< 0,2;2,07;-;-;0,17;0,11;< 0,05;0,67;< 0,05;11,7;0,97
produits sucrés;Biscuit sec pour petit déjeuner;-;2,1;7,81;65,8;16,3;21;40,4;5,5;2,45;0;30,28;2,83;2,91;1,19;4;140;190;< 0,25;3,21;16,9;< 0,5;0,13;0,01;0,3;0,72;0,071;13,9;0,033
produits sucrés;Biscuit sec pour petit déjeuner, allégé en sucres;-;-;7,68;66,3;16;20,2;45,9;6,33;1,17;0;4,4;4,4;-;0,68;2,8;90;-;-;4,17;-;-;0,28;-;-;-;-;-;-
produits sucrés;Biscuit sec chocolaté, préemballé;-;1,21;6,43;61,7;26,9;34,3;27,4;2,71;1,06;0;14,2;14,2;-;0,5;2,66;31,8;221;0;1,1;-;0;0,08;0,11;1,3;0,53;0,08;32;0
produits sucrés;Biscuit sec fourré à la pâte ou purée de fruits;-;12,7;4,43;69,2;9,11;43,4;21,5;3,52;1,08;0;17,0102;3,6;3,8;0,41;1;294;269;0;3,02;5,8;< 0,5;0,45;0,055;0,63;0,28;0,31;21;< 0,08
produits sucrés;Biscuit sec avec nappage chocolat;-;2,72;6,93;61,9;25;36,7;25,2;2,09;1,32;0;45,975;14,9;9;0,4;2,7;11,7;193;-;-;-;< 0,3;-;-;-;-;-;-;-
produits sucrés;Barre biscuitée fourrée aux fruits, allégée en matière grasse;-;10,5;3,32;75,7;7,12;41,9;20,9;3;0,42;0;13,622;2,64;-;0,42;-;-;-;-;2,8;-;-;0,29;-;-;-;-;-;-
produits sucrés;Biscuit sec pour petit déjeuner, au chocolat;-;2,5;6,5;69,7;16,6;29,8;36;2,8;1,92;0;31,138;8,75;4,95;0,95;5,1;76,3;259;< 0,2;3,35;-;-;0,28;0,085;1,5;0,51;0,22;32,5;1,01
produits sucrés;Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux;445;1,9;7,44;67,7;15,7;23,4;23,3;5,3;1,93;0;29,2;4,12;2,96;0,87;4,1;120;270;< 0,25;7,74;14;< 0,5;0,6;0,019;2,61;0,47;0,1;36,9;0,074
produits sucrés;Biscuit sec au beurre, sablé, galette ou palet;-;2,89;6,4;64,8;22,7;24,3;40,5;1,99;1,21;0;39,8239;14,7;130;0,82;1,82;14;88;0;2,44;11;0;0,35;0,31;3,28;0,32;0,071;20;0
produits sucrés;Biscuit sec au beurre, sablé, galette ou palet, au chocolat;-;2,6;6,64;61;25,3;28,9;28,9;3,19;1,27;0;43,26;16;63,7;0,77;7;51;270;< 0,25;2,67;3;< 0,5;0,1;0,089;0,22;0,35;0,066;25,6;0,41
produits sucrés;Biscuit sec chocolaté, type barquette;-;5,29;7,39;60,9;22,8;43,1;16,2;2,41;1,19;0;42,2506;3,03;-;0,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec chocolaté, type tartelette;-;2,7;6,65;60,2;25,8;29,2;25,9;3,24;1,42;0;49,217;16;21;0,45;0,15;59;360;< 0,25;2,46;4,2;< 0,5;0,098;0,083;0,32;0,35;0,046;39,1;0,15
produits sucrés;Biscuit sec chocolaté, type galette;-;-;6,84;63,7;23,5;28,2;34;3,01;0,89;0;13,2;13,2;-;0,65;3,97;60,5;-;-;4;-;-;0,6;0,7;6;-;1;79;-
produits sucrés;Biscuit sec, sablé, galette ou palet, aux fruits;-;3,3;5,93;67,6;19,3;31;27,8;2,74;1,18;0;36,771;11;25,5;0,49;1;32;210;< 0,25;2,2;1,99;< 0,5;0,12;0,036;0,18;0,23;0,056;19,6;0,41
produits sucrés;Biscuit sec fourré fruits à coque (non ou légèrement chocolaté);511;3,1;5,5;59,8;27,2;29,7;26,6;3,4;0,93;0;50,58;16,7;35,4;0,37;1,5;28;210;< 0,25;2,21;4,77;< 0,5;0,038;0,022;0,12;0,42;0,028;18,9;0,069
produits sucrés;Florentin (biscuit sec sucré chocolaté aux amandes);514;2;9,31;50,7;28,7;44,1;1,7;7,6;1,46;0;52,54;10,8;21,4;0,13;2,5;84;320;1,01;6,15;4,28;< 0,5;0,046;0,095;0,47;0,38;0,044;16,9;0,28
produits sucrés;Biscuit pâtissier meringué;-;-;7,42;56;30,7;46,1;-;3,62;0,3;0;18,9;18,9;-;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Sablé à la noix de coco;-;2,72;7,1;66,5;20,1;24,2;-;2,65;1;0;33,9198;12,3;-;0,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Sablé pâtissier, artisanal;-;5;8,38;59,4;22,9;-;29,3;3,3;0,99;0;0;-;98;0,41;< 1;21,8;123;< 0,2;1,4;-;-;< 0,05;0,09;0,3;0,58;0,09;14,5;0,79
produits sucrés;Sablé aux fruits (pomme, fruits rouges, etc.);-;-;5,85;66;21,1;32;-;2,55;0,96;0;34,255;10,6;-;0,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Sablé au cacao ou chocolat, au praliné ou autre;-;3,61;6,63;61,2;24,6;27,3;-;3;0,94;0;43,515;10,7;-;0,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;"Goûter sec fourré (""sandwiché"") parfum lait ou vanille";-;2,19;5,36;71,2;18,6;34,7;32,6;1,83;0,82;0;33,9371;10,7;3,1;0,56;< 1;12,9;96,5;< 0,2;1,1;-;-;< 0,05;0,06;< 0,05;0,3;< 0,05;7,4;0,31
produits sucrés;"Goûter sec fourré (""sandwiché"") parfum chocolat";-;2,33;6,7;67,9;18;29,8;38,1;3,77;1,25;0;34,6635;9,92;2,2;0,62;3,3;47,3;190;< 0,5;3;-;< 1;0,11;0,073;0,69;0,29;0,13;28;< 0,08
produits sucrés;"Goûter sec fourré (""sandwiché"") parfum fruits";-;0,99;6,64;73,3;17,4;31,6;41,8;3,35;1,24;0;18,263;9,68;< 0,5;0,5;4,5;120;80;-;3,5;-;-;0,25;-;-;-;-;35;-
produits sucrés;Gaufrette ou éventail sans fourrage;-;2,93;9;76,8;8;35;35,5;2;1,29;0;15,271;5;-;1;-;-;144;-;-;-;2;0,016;0,063;0,68;-;0,057;5;0,09
produits sucrés;Gaufrette fourrée chocolat, préemballée;-;1,64;6,38;57,2;29,8;35,8;-;3,53;1,44;0;56,538;22,9;-;0,27;-;11;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée;-;2,31;7,31;59,6;26,4;37,4;15,3;3,21;1,11;0;47,8712;17,7;10,1;0,34;6,8;47,3;263;< 0,2;2,1;-;-;< 0,05;0,22;< 0,2;0,51;0,06;11,8;0,54
produits sucrés;Gaufrette, fourrée vanille, préemballée;538;1,1;5,75;60,1;30,1;32,9;24,4;1,6;1,12;0;57;19,9;8,85;0,36;0,55;24;260;< 0,25;1,86;2,09;0,63;0,041;0,16;0,27;1,08;0,041;15,3;0,29
produits sucrés;Gaufrette fourrée, aux fruits;-;9,32;4,43;82,4;1,58;41,7;24,4;1,66;0,6;0;2,1851;0,75;-;0,28;-;-;-;-;-;-;0,3;-;-;-;-;-;-;-
produits sucrés;Cigarette;-;2,47;5,29;63;27,5;38;25;1;0,73;0;27,25;17,5;-;0,28;-;-;163;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Crêpe dentelle;-;2,9;6,27;72,1;15,5;36,7;-;1,7;1,55;0;12,95;10,2;-;0,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Crêpe dentelle au chocolat, préemballée;-;-;5,91;67,9;21,8;42,4;-;3,45;1,41;0;38,8756;13,5;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir;-;6,3;7,98;79,9;3,77;47,9;24,3;1,37;0,66;0;5,5742;0,99;109;0,41;1,1;14,3;109;< 0,2;0,9;-;0;< 0,05;0,11;< 0,05;0,6;< 0,05;9,6;0,36
produits sucrés;Biscuit sec type langue de chat ou cigarette russe;-;2,98;5,66;77,9;10,7;40,3;36,9;1,86;0,9;0;18,463;6,85;67;0,57;0,6;15,4;135;< 0,5;1,1;-;< 0,5;0,11;0,092;0,99;0,31;0,14;41;< 0,08
produits sucrés;Meringue;-;0,8;4,11;94,3;< 0,5;94,3;0;< 0,5;0,29;0;0;< 0,01;0;0,16;0,18;4,76;89,8;0;0;-;0;traces;0,24;0,1;0,16;0,01;6;0,1
produits sucrés;Biscuit sec ou tuile, aux amandes;471;3,2;7,8;68;18,1;39,2;28,6;2,1;0,69;0;32,13;5,65;43,6;0,21;0,81;40;170;< 0,25;4,17;1,02;< 0,5;0,061;0,041;0,23;0,47;0,044;15,3;0,084
produits sucrés;Biscuit sec type tuile, aux fruits;384;-;5,43;74,9;8,28;26,9;-;7,14;0,7;0;3,69;3,69;-;0,7;-;-;-;-;1,5;-;-;-;-;-;-;-;-;0,25
produits sucrés;Biscuit sec feuilleté, type palmier ou autres;-;2,49;6,1;60,5;27,6;21,6;38,9;2,06;1,29;0;51,4428;14,4;11,7;1,01;0,4;14,6;91,2;0,92;2,07;-;0;0,15;0,052;0,75;0,29;0,24;34,7;< 0,08
produits sucrés;Palmier, artisanal;-;6,12;5,93;53,1;28,2;21,8;24,7;5,3;1,32;0;48,157;14,4;28;1,16;0,58;11,5;83,5;< 0,2;3,2;-;0;< 0,05;< 0,05;0,2;0,32;0,08;11,5;0,43
produits sucrés;Biscuit sec (génoise) nappage aux fruits, type barquette;341;15,5;4,44;74,4;2,1;51,1;16,3;2,8;0,42;0;3,83;0,75;70,9;0,12;0,7;11;110;< 0,25;0,48;1,51;1,61;0,037;0,055;0,15;0,5;0,013;10,4;0,19
produits sucrés;Biscuit sec nappé aux fruits, tartelette;-;6,84;4,7;71,3;14,2;32,7;30,1;2,27;0,69;0;27,5793;7,98;-;0,37;-;-;70;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Biscuit moelleux fourré à l'orange et enrobé de sucre glace;-;13,3;4,25;79,3;1,92;52,9;25,9;1;0,24;0;3,25;0,86;18,4;0,015;0,7;10,1;81;< 0,5;0,7;-;< 1;0,096;0,051;0,59;0,28;0,52;26;< 0,08
produits sucrés;Cookie aux pépites de chocolat;-;3,46;6,47;59;25,9;31,5;27,5;3,38;1,77;0;48,4634;12,9;17,3;1,01;3,43;70,2;270;< 0,5;2,6;-;< 1;0,26;0,24;1,05;0,43;0,09;38;< 0,08
produits sucrés;Cône ou cornet classique, pour glace;-;-;7,5;80,4;5;25,6;-;2;0,54;0;4,1;4,1;-;0,54;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Génoise sèche fourrée aux fruits et nappée de chocolat;-;13,8;3,23;69,5;10,6;51,7;11,4;2,16;0,75;0;19,20981;6,11;34,8;0,17;1,9;37;159;< 0,5;0,75;-;< 1;0,042;0,091;0,28;0,3;0,17;27;0,13
produits sucrés;Biscuit sec pauvre en glucides;-;-;20,8;43,8;18,5;19,3;-;11,5;0,86;0;8,75;8,75;-;0,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;391;1;8;82,2;2,2;35,3;41;5,2;1,33;0;4,11;0,38;0;0,018;7,15;32,6;192;4,2;10,7;-;-;1,05;1,29;14,5;5,27;1,44;174;1,7
produits sucrés;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;408;2,7;8,13;70,4;8,9;26,2;44,2;6,7;2,99;0;16,68;3;-;0,53;8,23;30,6;402;1,7;10;-;59,6;0,98;1,21;13,6;4,86;1,31;165;1,72
produits sucrés;Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux;360;3,57;11,5;59,3;4,42;22,1;36,5;18,3;2,89;0;4,163;1,91;0;1,27;8,21;146;500;2,8;10;-;45,5;1,05;1,26;14,2;5,08;1,44;196;1,47
produits sucrés;Céréales pour petit déjeuner (aliment moyen);398;3,58;7,78;75,3;6,08;24,6;47,4;5,16;2,08;0;11,801;2,19;0,87;0,79;7,05;53;306;1,19;6,44;;40,6;0,86;1,05;12,1;4,46;1,14;155;1,8
produits sucrés;Muesli (aliment moyen);418;5,72;7,49;66,6;12,2;25,9;38,5;6,4;1,65;0;23,7665;5,04;1,76;0,7;5,64;79,8;431;0,2;1,76;;14,1;0,76;0,89;10,5;4,52;1,09;193;1,17
produits sucrés;Pétales de maïs natures, enrichis en vitamines et minéraux;377;2,98;7,4;83,2;0,87;9,53;73,7;3,48;2,04;0;1,3885;0,28;0;1,64;7,21;21,7;131;4,2;0,14;0,3;0;1,06;1,33;15;5,51;1,42;182;1,95
produits sucrés;Riz soufflé nature, enrichi en vitamines et minéraux;391;1,47;6,66;87;1,5;8;77;1;2,4;0;1,42;0,3;-;1,15;8;25,3;170;< 0,5;0,16;-;-;1,2;1,3;14,9;0,64;1,7;166;0,83
produits sucrés;Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux;386;-;10,7;64;6,75;19,3;44,7;11,5;0,78;0;6,45;3,5;-;0,78;6,6;-;-;2,8;-;-;-;0,9;1,05;12;5;1,25;196;1,1
produits sucrés;Pétales de blé chocolatés, enrichis en vitamines et minéraux;388;2,03;9,04;77,7;3,24;29,9;47,8;6,01;1,98;0;5,401;1,49;0;0,56;7,24;55;506;1,7;10;-;68;1,06;1,29;14,5;5,24;1,44;174;1,67
produits sucrés;Pétales de blé chocolatés (non enrichis en vitamines et minéraux);388;2,1;8,48;80,1;2,64;30,3;39,2;4,93;1,79;0;4,929;1,4;1,02;0,64;5,6;80;450;< 0,25;0,56;< 0,8;< 0,5;0,13;0,03;2,5;0,51;0,065;22,4;2,31
produits sucrés;Riz soufflé chocolaté (non enrichi en vitamines et minéraux);388;2,8;6,01;84,2;2,2;32,5;45,7;3,06;1,78;0;3,52;0,91;1,41;0,94;3,3;61;370;< 0,25;0,36;< 0,8;< 0,5;0,058;0,06;2,23;0,63;0,074;27,8;-
produits sucrés;Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux);386;-;7,73;79,6;2,93;31,2;-;5,24;2,1;0;4,158;1,21;-;0,41;7;-;-;-;-;-;68;0,9;1,2;13,3;5,03;1,2;166;2,1
produits sucrés;Pétales de maïs natures (non enrichis en vitamines et minéraux);380;-;8,14;82,8;1,05;5,43;-;3,36;2,15;0;0,3;0,3;-;2,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;433;4,2;7,81;69,2;13;29,1;37,3;3,6;1,96;0;24,23;3,22;3;0,89;7,19;57,7;344;1,7;9,64;-;57,5;0,94;1,21;13,4;5,4;1,27;164;1,85
produits sucrés;Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes;442;-;7,33;67,2;14,8;34,3;-;5,3;1,49;0;27,093;3,03;-;0,46;8,07;-;-;-;9,4;-;-;0,97;1,17;14,2;4,4;1,3;161;1,58
produits sucrés;Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;419;8,6;8,42;64,7;13,3;31,2;-;3,32;1,61;0;10,85;5,52;1;0,77;7;20;270;traces;10;-;0;0,95;1,22;13,6;5;1,28;167;1,89
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux";382;2,6;11,4;78,6;1,65;17,2;57,5;3,36;2,4;0;1,58;0,54;0;1,25;10,6;47,5;223;traces;11;-;88,9;1,41;1,73;19,5;6,98;1,89;233;2,3
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";394;3,3;7,5;73,9;5,9;19,5;48,7;7,1;2,04;0;10,98;3,02;traces;0,69;7,75;60;235;traces;10,8;-;69,6;1,07;1,35;15,2;5,46;1,43;185;1,98
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";378;3;10,5;77,9;1,74;20,6;54,7;4,4;2,5;0;1,65;0,57;traces;1,06;10,6;58,3;237;traces;10,1;-;77,4;1,25;1,52;17,2;5,79;1,67;205;2,03
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux";394;-;8,91;75,5;4,93;23,7;50;4,33;1,41;0;0,83;0,83;-;1;10,2;-;-;-;-;-;75,8;1,06;1,34;15,2;4,55;1,34;190;2,36
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)";411;2,5;10,3;74,6;7,01;22,9;43,2;4,06;1,56;0;13,3748;4,07;2,35;1,03;6;45;250;0,49;0,57;< 0,8;40,8;0,46;0,69;9,18;0,51;0,63;97,4;-
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)";378;3,1;10,5;78,7;1,4;19;54,3;4,32;1,9;0;2,28;0,32;1,38;1,24;7,3;63;380;< 0,25;0,91;< 0,8;74;0,74;1,16;13;0,39;0,94;68,1;-
produits sucrés;"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)";379;-;11,3;79;1,25;15,4;-;3,45;1,36;0;0,39;0,39;-;1,18;7;-;-;-;12;-;-;1,1;1,4;16;6;1,4;200;2,5
produits sucrés;Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen);401;3,48;7,51;75;6,77;24,4;48,4;4,98;2,19;0;13,3065;2,42;0,85;0,86;7,48;47,1;285;1,39;7,58;;47,4;0,99;1,23;13,9;5,19;1,34;179;1,76
produits sucrés;Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen);388;2,65;8,23;79,2;3,24;28,6;40,4;4,88;1,8;0;6,0822;1,48;1,14;0,67;5,8;75,1;418;0,14;1,52;0,63;20,1;0,39;0,45;6,45;2,04;0,47;74,7;2,26
produits sucrés;Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux);379;-;4,4;88;0,6;29,6;-;1,9;1,14;0;0,1;0,1;-;1,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
produits sucrés;Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux);436;4,3;8,88;59,7;16,7;21,7;31,2;8,68;1,68;0;32,305;6,61;0,9;0,34;6,07;102;390;< 0,25;2,33;5,32;66,7;0,7;1,17;13,3;5;1,17;167;2,08
produits sucrés;Muesli croustillant au chocolat (non enrichi en vitamines et minéraux);442;2,4;8,57;63,2;16,7;22,7;34,1;7,42;1,73;0;30,213;7,74;2,41;0,35;2,6;106;340;< 0,25;2,42;< 0,8;< 0,5;0,44;0,08;2,27;0,58;0,11;31,4;-
produits sucrés;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;361;9,8;9,19;65,4;5;23,8;41,6;8,6;1,78;0;9,36;0,75;0;0,49;5,5;90;520;< 0,25;0,8;2,89;< 0,5;0,71;0,81;10,5;0,84;1,01;183;1,58
produits sucrés;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;460;3,05;5,67;68,4;17,3;30;37,3;3,83;1,72;0;33,1424;8,33;2,93;1;5,77;71,8;382;< 0,5;2,15;-;17,3;0,8;0,93;10,5;6,75;1,13;204;0,89
produits sucrés;Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux;451;3;9,13;62,7;16,7;21,8;34,4;6,7;1,71;0;31,55;6,45;10,7;0,44;4,1;80;290;< 0,25;1,53;2,57;64;0,69;0,91;10,3;0,56;0,055;18,5;1,6
produits sucrés;Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés;400;9,21;10,7;61,6;11;18,6;43;5,7;1,8;0;11,5775;1;0;0,25;3,2;74,5;460;< 0,5;4,6;-;< 0,5;0,67;0,28;2,1;0,6;1,08;96,7;< 0,08
produits sucrés;Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;385;3,34;8,82;75,2;4,01;44,4;30,8;6,43;2,19;0;3,83;2,54;traces;0,25;7,45;80;400;traces;2;-;0;1,2;1,3;15;5;1,7;169;0,84
produits sucrés;Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux;338;3;14;49;3,5;18;30;27;3,5;0;3,2;0,7;-;0,58;8,8;220;820;-;-;-;-;0,7;0,9;10,1;-;0,9;250;1,6
produits sucrés;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;374;3,6;5,77;84,7;0,63;30;50;3,02;2,3;0;0,447;0,18;0;1,27;7,18;10;70;4,2;12;-;-;0,95;1,23;13,7;5,11;1,26;169;1,91
produits sucrés;Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;386;5;10,3;67,9;6,3;20,9;46,3;8,07;2,46;0;6,03;0,83;0;1,5;10,4;103;400;traces;3,1;-;51;1,05;1,2;13,3;4,45;1,5;148;0,75
produits sucrés;Muesli floconneux ou de type traditionnel;382;-;10,6;68,5;4,83;11,9;-;11,4;0,15;0;0,83;0,83;-;0,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-
