alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Langue de boeuf sauce madère, préemballée;180;-;9,5;4,5;13,5;2,5;-;1;1,08;0;6;6;-;1,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Porc au caramel, préemballé;136;70,7;10;11,4;5,4;7,9;1,3;0,7;1,84;0;9,5934;1,44;29;1,34;0,49;12;160;< 0,25;0,62;1,5;< 0,5;0,19;0,034;1,93;0,31;0,094;9,1;0,27
entrées et plats composés;Boulettes au boeuf, à la sauce tomate, préemballées;117;-;9;5,5;6,5;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Paupiette de veau, préemballée,  cuite au four;276;54,8;22;0,48;20,5;0,3;< 0,35;0,9;1,81;0;37,63;8,19;89,5;1,07;0,94;18;260;< 0,25;< 0,08;0,87;1,62;0,16;0,071;3,83;0,59;0,22;11,9;1,61
entrées et plats composés;Carpaccio de boeuf, avec marinade;271;57;15,2;0,55;23;0,5;0,0024;0,36;2,04;0;21,38;7,38;55,6;1,12;1,84;22,6;242;0,38;3,18;-;5,87;0,088;0,17;2,11;0,28;0,27;12;2,04
entrées et plats composés;Yakitori (brochettes japonaises grillées en sauce);172;58,8;26;9,3;3,3;6,6;1,3;0,6;2,02;0;6,04;1,2;86,6;1,19;0,61;31;340;< 0,25;0,5;< 0,8;-;0,09;0,042;7,69;1,36;0,25;31,8;0,41
entrées et plats composés;Brochette de boeuf, cuite;139;69,2;21,9;0,33;5,2;-;-;< 3;1,83;0;9,31;1,8;60,2;0,86;2,4;25;430;< 0,25;0,65;3,71;10,8;0,041;0,14;4,72;0,54;0,31;19,8;1,94
entrées et plats composés;Brochette de volaille, cuite;137;68;23,1;1,39;4;-;-;< 3;2,05;0;7,19;1,02;76,9;0,75;0,61;33;520;< 0,25;0,74;2,41;8,49;0,071;0,07;8,91;1,71;0,47;88,3;0,7
entrées et plats composés;Hachis parmentier à la viande, préemballé;138;73,6;5,99;9,39;8,22;1,47;-;1,43;1,39;0;14,779272;4,7;20;0,83;0,71;17,5;184;0,1;0,2;-;0,65;0,02;0,07;-;-;0,08;5,71;0,42
entrées et plats composés;Couscous au mouton;149;68,9;8,31;12,2;7,2;1,38;10,8;1,3;1,4;0;0;-;17,5;0,81;1,24;23,2;187;0,14;0,4;-;5;0,075;0,075;1,7;0,3;0,11;18;0,5
entrées et plats composés;Couscous à la viande ou au poulet, préemballé, allégé;90,7;72,9;5,9;11,5;1,9;2,1;9,4;2;1,65;0;1,74;0,4;16;0,7;0,78;17;148;0,04;0,97;-;7;0,07;0,07;2;0,3;0,13;18;0,04
entrées et plats composés;Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée;168;65;3,2;16,2;9,6;1,7;14,5;2,1;1,55;0;17,57;2,9;10,5;0,6;0,49;20;390;< 0,25;1,49;3,13;3,04;0,086;0,056;1,28;0,41;0,15;23,8;0,15
entrées et plats composés;Couscous royal (avec plusieurs viandes), préemballé;132;69,2;7,69;14;4,53;1,57;12,5;2,1;1,33;0;8,0468;1,54;20;0,88;0,93;18,8;179;0;0,4;-;1,69;0,07;0,09;1,9;0,3;0,15;17,2;0,28
entrées et plats composés;Couscous au poulet;130;66,9;7,5;15,6;3,85;2,87;12,8;1,47;1,24;0;3,64;1,17;26,6;0,79;0,86;18,4;153;0,01;0,48;-;4,05;0,08;0,09;1,9;0,3;0,14;19,1;0,13
entrées et plats composés;Couscous à la viande, préemballé;128;69,2;7,59;12,5;4,73;1,97;-;2,53;1,33;0;4,596;1,24;-;0,78;-;18,8;179;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Parmentier de canard, préemballé;146;69,9;6,82;8,51;9,06;1,96;-;1,55;1,32;0;9,3;4,5;-;0,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Parmentier de canard, préemballé, cuit;168;68,5;7;10,5;10,2;1,7;8,4;1,2;1,47;0;18,759;4,7;37,9;0,74;0,68;14;290;< 0,25;< 0,08;1,59;< 0,5;0,08;0,071;1,4;0,55;0,11;45,9;0,61
entrées et plats composés;Cassoulet, appertisé;129;70,6;8,06;9,41;5,77;1,06;7,3;3,55;1,63;0;8,244;2,07;21,3;0,97;1,23;34,8;289;< 0,5;0,18;-;2,94;0,083;0,057;1,25;0,16;0,091;30;0,12
entrées et plats composés;Choucroute garnie, préemballée;109;82,4;5,06;2,8;8,06;0,66;-;2,71;1,6;0;11,479;3,22;34,7;1,39;0,83;18;97,5;0;0,25;-;9,09;0,14;0,11;0,68;-;0,02;10;-
